Species,Code,SpeciesCode,Pulp Density (%),Day,pH,pH STDEV,Mg (mg/L),Mg STDEV,Mg/d (mg/L-d),(1/pH)-d,Mg/Pulp Density (mg/L-Pulp Density)
GO 1%,Gox1,Gox,1,4,2.16333333333333,0.0818535277187246,867.206433333333,24.5931274246146,216.801608333333,1.84899845916795,867.206433333333
GO 1%,Gox1,Gox,1,5,2.33333333333333,0.0802080627701065,1063.29976666667,52.0025949195166,212.659953333333,2.14285714285714,1063.29976666667
GO 2%,Gox2,Gox,2,0,4.47333333333333,0.0650640709864771,27.8264333333333,2.56054844190328
GO 2%,Gox2,Gox,2,1,2.81333333333333,0.14047538337137,512.812466666667,58.6389083610305,512.812466666667,0.355450236966825,256.406233333333
GO 2%,Gox2,Gox,2,2,2.79333333333333,0.0416333199893227,952.367666666667,55.9684092039727,476.183833333333,0.715990453460621,476.183833333333
GO 2%,Gox2,Gox,2,3,2.53666666666667,0.030550504633039,1324.44116666667,33.874387267718,441.480388888889,1.1826544021025,662.220583333333
GO 2%,Gox2,Gox,2,4,2.67,0.0173205080756887,1689.4612,38.939275021885,422.3653,1.49812734082397,844.7306
GO 2%,Gox2,Gox,2,5,2.59666666666667,0.0416333199893227,1973.00423333333,48.8590244172285,394.600846666667,1.92554557124519,986.502116666667
GO 3%,Gox3,Gox,3,0,4.65666666666667,0.037859388972002,33.6082666666667,0.24937486507933
GO 3%,Gox3,Gox,3,1,3.52666666666667,0.030550504633039,762.828533333333,41.9999658943116,762.828533333333,0.283553875236295,254.276177777778
GO 3%,Gox3,Gox,3,2,2.84333333333333,0.100664459136943,1573.0204,75.1990048072446,786.5102,0.703399765533411,524.340133333333
GO 3%,Gox3,Gox,3,3,2.64666666666667,0.0321455025366433,2143.52953333333,104.64732094107,714.509844444444,1.13350125944584,714.509844444444
GO 3%,Gox3,Gox,3,4,2.68,0.026457513110646,2611.04616666667,83.6549927691307,652.761541666667,1.49253731343284,870.348722222222
GO 3%,Gox3,Gox,3,5,2.84666666666667,0.0208166599946614,3130.4823,64.8517956412157,626.09646,1.75644028103045,1043.4941
SD 1%,Sd1,Sd,1,0,7.43,0.0264575131106458,12.6352666666667,0.335010004825726
SD 1%,Sd1,Sd,1,1,7.06666666666667,0.0251661147842358,35.4372,0.392639160043925,35.4372,0.141509433962264,35.4372
SD 1%,Sd1,Sd,1,2,6.78333333333333,0.0838649708360606,39.2774666666667,1.20348646163276,19.6387333333333,0.294840294840295,39.2774666666667
SD 1%,Sd1,Sd,1,3,6.11,0.0888819441731558,39.6378666666667,0.309658946800077,13.2126222222222,0.490998363338789,39.6378666666667
SD 1%,Sd1,Sd,1,4,5.73,0.0818535277187246,48.7445,2.44795465848533,12.186125,0.698080279232112,48.7445
SD 1%,Sd1,Sd,1,5,5.53333333333333,0.0802080627701065,64.1783333333333,20.5795334537334,12.8356666666667,0.903614457831325,64.1783333333333
SD 2%,Sd2,Sd,2,0,7.63333333333333,0.0152752523165196,13.5330333333333,0.125356185859866
SD 2%,Sd2,Sd,2,1,7.38,0.0499999999999998,33.6835333333333,2.07838313679969,33.6835333333333,0.13550135501355,16.8417666666667
SD 2%,Sd2,Sd,2,2,7.11666666666667,0.0404145188432738,44.7308666666667,2.05702887761289,22.3654333333333,0.281030444964871,22.3654333333333
SD 2%,Sd2,Sd,2,3,6.55,0.02,54.6438666666667,1.3772603977946,18.2146222222222,0.458015267175573,27.3219333333333
